"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-01","2019","01","01","","5.3","","0.8","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-02","2019","01","02","","5.5","","2.4","","4.0","","14.0","","0.0","","3.4","","0.0","T","3.4","","","","6","","41",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-03","2019","01","03","","9.5","","4.5","","7.0","","11.0","","0.0","","54.8","","0.0","","54.8","","","","14","","54",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-04","2019","01","04","","10.4","","6.1","","8.3","","9.7","","0.0","","9.6","","0.0","","9.6","","","","15","","45",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-05","2019","01","05","","8.7","","5.3","","7.0","","11.0","","0.0","","3.2","","0.0","","3.2","","","","10","","33",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-06","2019","01","06","","7.9","","3.3","","5.6","","12.4","","0.0","","6.8","","0.0","","6.8","","","","24","","59",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-07","2019","01","07","","5.8","","0.5","","3.2","","14.8","","0.0","","0.0","","0.0","T","0.0","T","","","28","","54",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-08","2019","01","08","","5.5","","-1.0","","2.3","","15.7","","0.0","","2.4","","0.0","","2.4","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-09","2019","01","09","","10.5","","3.8","","7.2","","10.8","","0.0","","6.8","","0.0","","6.8","","","","15","","54",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-10","2019","01","10","","11.1","","8.2","","9.7","","8.3","","0.0","","3.6","","0.0","","3.6","","","","15","","45",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-11","2019","01","11","","10.2","","3.5","","6.9","","11.1","","0.0","","0.0","T","0.0","","0.0","T","","","","","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-12","2019","01","12","","11.3","","-0.2","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-13","2019","01","13","","8.7","","0.8","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-14","2019","01","14","","4.9","","-1.9","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-15","2019","01","15","","5.3","","-2.0","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-16","2019","01","16","","7.2","","-1.8","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-17","2019","01","17","","10.4","","0.1","","5.3","","12.7","","0.0","","12.2","","0.0","","12.2","","","","9","","41",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-18","2019","01","18","","9.8","","6.8","","8.3","","9.7","","0.0","","7.4","","0.0","","7.4","","","","13","","50",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-19","2019","01","19","","9.6","","4.2","","6.9","","11.1","","0.0","","2.0","","0.0","","2.0","","","","21","","63",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-20","2019","01","20","","7.3","","1.9","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","","","30","","46",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-21","2019","01","21","","7.0","","-1.6","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-22","2019","01","22","","5.7","","3.5","","4.6","","13.4","","0.0","","20.0","","0.0","","20.0","","","","6","","42",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-23","2019","01","23","","6.8","","4.5","","5.7","","12.3","","0.0","","6.4","","0.0","","6.4","","","","30","","42",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-24","2019","01","24","","7.3","","4.8","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-25","2019","01","25","","7.7","","3.8","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-26","2019","01","26","","7.9","","4.1","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-27","2019","01","27","","7.5","","0.8","","4.2","","13.8","","0.0","","0.6","","0.0","","0.6","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-28","2019","01","28","","7.2","","-1.6","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-29","2019","01","29","","7.5","","-3.0","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-01-30","2019","01","30","","6.2","","-0.7","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
